userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess,
abrown53,SecondIntoFirstDivisible,60,eval_input,2020-03-26 22:47:55,120 120,true,,,,,
abrown53,SecondIntoFirstDivisible,61,quiz_answer,2020-03-26 22:48:28,"8,2",false,0,true,false,,
abrown53,SecondIntoFirstDivisible,62,cheat_attempt,2020-03-26 22:48:38,8 2,true,,,,,
abrown53,SecondIntoFirstDivisible,63,cheat_attempt,2020-03-26 22:48:42,8 2,true,,,,,
abrown53,SecondIntoFirstDivisible,64,eval_input,2020-03-26 22:48:44,2 2,true,,,,,
abrown53,SecondIntoFirstDivisible,65,cheat_attempt,2020-03-26 22:48:48,8 2,true,,,,,
abrown53,SecondIntoFirstDivisible,66,eval_input,2020-03-26 22:48:50,8 4,true,,,,,
abrown53,SecondIntoFirstDivisible,67,eval_input,2020-03-26 22:48:54,8 16,false,,,,,
abrown53,SecondIntoFirstDivisible,68,eval_input,2020-03-26 22:48:57,128 16,true,,,,,
abrown53,SecondIntoFirstDivisible,69,eval_input,2020-03-26 22:48:59,128 32,true,,,,,
abrown53,SecondIntoFirstDivisible,70,eval_input,2020-03-26 22:49:02,128 64,true,,,,,
abrown53,SecondIntoFirstDivisible,71,eval_input,2020-03-26 22:49:05,128 1,true,,,,,
abrown53,SecondIntoFirstDivisible,72,eval_input,2020-03-26 22:49:08,128 2,true,,,,,
abrown53,SecondIntoFirstDivisible,73,eval_input,2020-03-26 22:49:12,240 5,true,,,,,
abrown53,SecondIntoFirstDivisible,74,eval_input,2020-03-26 22:49:14,240 15,true,,,,,
abrown53,SecondIntoFirstDivisible,75,eval_input,2020-03-26 22:49:16,240 48,true,,,,,
abrown53,SecondIntoFirstDivisible,76,quiz_answer,2020-03-26 22:49:39,"8,2",true,0,true,true,,
abrown53,SecondIntoFirstDivisible,77,quiz_answer,2020-03-26 22:49:42,"2,8",false,1,false,true,,
abrown53,SecondIntoFirstDivisible,78,quiz_answer,2020-03-26 22:49:48,"0,2",true,2,true,true,,
abrown53,SecondIntoFirstDivisible,79,final_answer,2020-03-26 22:49:49,,,,,,"Returns TRUE if the first number is divisible by the second, and FALSE otherwise.",
abrown53,SumBetween,80,eval_input,2020-03-26 22:49:56,5 1,0,,,,,
abrown53,SumBetween,81,eval_input,2020-03-26 22:49:58,5 2,0,,,,,
abrown53,SumBetween,82,eval_input,2020-03-26 22:49:59,5 3,0,,,,,
abrown53,SumBetween,83,eval_input,2020-03-26 22:49:59,5 4,0,,,,,
abrown53,SumBetween,84,eval_input,2020-03-26 22:50:00,5 5,5,,,,,
abrown53,SumBetween,85,eval_input,2020-03-26 22:50:04,5 6,11,,,,,
abrown53,SumBetween,86,eval_input,2020-03-26 22:50:08,5 7,18,,,,,
abrown53,SumBetween,87,eval_input,2020-03-26 22:50:14,5 8,26,,,,,
abrown53,SumBetween,88,eval_input,2020-03-26 22:51:00,7 8,15,,,,,
abrown53,SumBetween,89,eval_input,2020-03-26 22:51:02,1 8,36,,,,,
abrown53,SumBetween,90,eval_input,2020-03-26 22:51:19,-10 10,0,,,,,
abrown53,SumBetween,91,eval_input,2020-03-26 22:51:21,-10 9,-10,,,,,
abrown53,SumBetween,92,quiz_answer,2020-03-26 22:51:27,"2,5",14,0,14,true,,
abrown53,SumBetween,93,quiz_answer,2020-03-26 22:51:30,"5,2",0,1,0,true,,
abrown53,SumBetween,94,quiz_answer,2020-03-26 22:51:39,"-2,3",3,2,3,true,,
abrown53,SumBetween,95,final_answer,2020-03-26 22:51:40,,,,,,Returns the sum of the numbers between the first and second numbers.,
agoldb10,SecondIntoFirstDivisible,0,eval_input,2020-02-21 12:06:30,1 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,1,eval_input,2020-02-21 12:06:37,1 2,false,,,,,
agoldb10,SecondIntoFirstDivisible,2,eval_input,2020-02-21 12:06:39,1 3,false,,,,,
agoldb10,SecondIntoFirstDivisible,3,eval_input,2020-02-21 12:06:47,1 0,false,,,,,
agoldb10,SecondIntoFirstDivisible,4,eval_input,2020-02-21 12:06:52,1 -1,true,,,,,
agoldb10,SecondIntoFirstDivisible,5,eval_input,2020-02-21 12:06:57,1 -2,false,,,,,
agoldb10,SecondIntoFirstDivisible,6,eval_input,2020-02-21 12:06:59,1 -3,false,,,,,
agoldb10,SecondIntoFirstDivisible,7,eval_input,2020-02-21 12:07:04,3 -3,true,,,,,
agoldb10,SecondIntoFirstDivisible,8,eval_input,2020-02-21 12:07:06,4 -3,false,,,,,
agoldb10,SecondIntoFirstDivisible,9,eval_input,2020-02-21 12:07:18,5 5,true,,,,,
agoldb10,SecondIntoFirstDivisible,10,eval_input,2020-02-21 12:07:21,5 10,false,,,,,
agoldb10,SecondIntoFirstDivisible,11,eval_input,2020-02-21 12:07:23,5 -10,false,,,,,
agoldb10,SecondIntoFirstDivisible,12,eval_input,2020-02-21 12:07:26,5 -5,true,,,,,
agoldb10,SecondIntoFirstDivisible,13,eval_input,2020-02-21 12:07:32,0 0,true,,,,,
agoldb10,SecondIntoFirstDivisible,14,eval_input,2020-02-21 12:07:34,1 0,false,,,,,
agoldb10,SecondIntoFirstDivisible,15,eval_input,2020-02-21 12:07:37,10 0,false,,,,,
agoldb10,SecondIntoFirstDivisible,16,eval_input,2020-02-21 12:07:40,103 0,false,,,,,
agoldb10,SecondIntoFirstDivisible,17,eval_input,2020-02-21 12:07:42,100 0,false,,,,,
agoldb10,SecondIntoFirstDivisible,18,eval_input,2020-02-21 12:07:49,100 -100,true,,,,,
agoldb10,SecondIntoFirstDivisible,19,eval_input,2020-02-21 12:07:51,100 100,true,,,,,
agoldb10,SecondIntoFirstDivisible,20,eval_input,2020-02-21 12:07:56,100 105,false,,,,,
agoldb10,SecondIntoFirstDivisible,21,eval_input,2020-02-21 12:08:00,100 80,false,,,,,
agoldb10,SecondIntoFirstDivisible,22,eval_input,2020-02-21 12:08:02,100 200,false,,,,,
agoldb10,SecondIntoFirstDivisible,23,eval_input,2020-02-21 12:08:06,100 -200,false,,,,,
agoldb10,SecondIntoFirstDivisible,24,eval_input,2020-02-21 12:08:09,100 -50,true,,,,,
agoldb10,SecondIntoFirstDivisible,25,eval_input,2020-02-21 12:08:23,10 -5,true,,,,,
agoldb10,SecondIntoFirstDivisible,26,eval_input,2020-02-21 12:08:31,2 -1,true,,,,,
agoldb10,SecondIntoFirstDivisible,27,eval_input,2020-02-21 12:08:36,100 50,true,,,,,
agoldb10,SecondIntoFirstDivisible,28,eval_input,2020-02-21 12:08:42,6 3,true,,,,,
agoldb10,SecondIntoFirstDivisible,29,eval_input,2020-02-21 12:08:45,6 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,30,eval_input,2020-02-21 12:08:46,6 6,true,,,,,
agoldb10,SecondIntoFirstDivisible,31,eval_input,2020-02-21 12:08:50,6 12,false,,,,,
agoldb10,SecondIntoFirstDivisible,32,eval_input,2020-02-21 12:08:53,12 6,true,,,,,
agoldb10,SecondIntoFirstDivisible,33,eval_input,2020-02-21 12:09:02,12 -6,true,,,,,
agoldb10,SecondIntoFirstDivisible,34,eval_input,2020-02-21 12:09:04,12 2,true,,,,,
agoldb10,SecondIntoFirstDivisible,35,eval_input,2020-02-21 12:09:07,12 -2,true,,,,,
agoldb10,SecondIntoFirstDivisible,36,eval_input,2020-02-21 12:09:08,12 -3,true,,,,,
agoldb10,SecondIntoFirstDivisible,37,eval_input,2020-02-21 12:09:09,12 3,true,,,,,
agoldb10,SecondIntoFirstDivisible,38,eval_input,2020-02-21 12:09:11,12 4,true,,,,,
agoldb10,SecondIntoFirstDivisible,39,eval_input,2020-02-21 12:09:13,12 -4,true,,,,,
agoldb10,SecondIntoFirstDivisible,40,eval_input,2020-02-21 12:09:16,12 8,false,,,,,
agoldb10,SecondIntoFirstDivisible,41,eval_input,2020-02-21 12:09:21,9 3,true,,,,,
agoldb10,SecondIntoFirstDivisible,42,eval_input,2020-02-21 12:09:24,27 3,true,,,,,
agoldb10,SecondIntoFirstDivisible,43,eval_input,2020-02-21 12:09:30,27 -56,false,,,,,
agoldb10,SecondIntoFirstDivisible,44,eval_input,2020-02-21 12:09:35,7 5,false,,,,,
agoldb10,SecondIntoFirstDivisible,45,eval_input,2020-02-21 12:09:37,7 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,46,eval_input,2020-02-21 12:09:39,7 17,false,,,,,
agoldb10,SecondIntoFirstDivisible,47,eval_input,2020-02-21 12:09:40,7 7,true,,,,,
agoldb10,SecondIntoFirstDivisible,48,eval_input,2020-02-21 12:09:41,7 72,false,,,,,
agoldb10,SecondIntoFirstDivisible,49,eval_input,2020-02-21 12:09:42,7 723,false,,,,,
agoldb10,SecondIntoFirstDivisible,50,eval_input,2020-02-21 12:09:43,7 7234,false,,,,,
agoldb10,SecondIntoFirstDivisible,51,eval_input,2020-02-21 12:09:45,7 3,false,,,,,
agoldb10,SecondIntoFirstDivisible,52,eval_input,2020-02-21 12:09:46,7 4,false,,,,,
agoldb10,SecondIntoFirstDivisible,53,eval_input,2020-02-21 12:09:47,7 5,false,,,,,
agoldb10,SecondIntoFirstDivisible,54,eval_input,2020-02-21 12:09:48,7 6,false,,,,,
agoldb10,SecondIntoFirstDivisible,55,eval_input,2020-02-21 12:09:50,7 14,false,,,,,
agoldb10,SecondIntoFirstDivisible,56,eval_input,2020-02-21 12:09:52,7 -7,true,,,,,
agoldb10,SecondIntoFirstDivisible,57,eval_input,2020-02-21 12:09:54,7 -1,true,,,,,
agoldb10,SecondIntoFirstDivisible,58,eval_input,2020-02-21 12:10:00,7 140,false,,,,,
agoldb10,SecondIntoFirstDivisible,59,eval_input,2020-02-21 12:10:05,140 7,true,,,,,
agoldb10,SecondIntoFirstDivisible,60,eval_input,2020-02-21 12:10:08,140 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,61,eval_input,2020-02-21 12:10:10,141 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,62,eval_input,2020-02-21 12:10:11,142 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,63,eval_input,2020-02-21 12:10:13,17 1,true,,,,,
agoldb10,SecondIntoFirstDivisible,64,eval_input,2020-02-21 12:10:20,17 -1,true,,,,,
agoldb10,SecondIntoFirstDivisible,65,eval_input,2020-02-21 12:10:34,10000 100,true,,,,,
agoldb10,SecondIntoFirstDivisible,66,eval_input,2020-02-21 12:10:39,34980 100,false,,,,,
agoldb10,SecondIntoFirstDivisible,67,eval_input,2020-02-21 12:10:41,349800 100,true,,,,,
agoldb10,SecondIntoFirstDivisible,68,quiz_answer,2020-02-21 12:11:20,"8,2",true,0,true,true,,
agoldb10,SecondIntoFirstDivisible,69,quiz_answer,2020-02-21 12:11:24,"2,8",false,1,false,true,,
agoldb10,SecondIntoFirstDivisible,70,quiz_answer,2020-02-21 12:11:29,"0,2",true,2,true,true,,
agoldb10,SecondIntoFirstDivisible,71,final_answer,2020-02-21 12:11:31,,,,,,I think this function returns true if the second input is a factor of the first.,
agoldb10,SumBetween,72,eval_input,2020-02-21 12:11:49,1 1,1,,,,,
agoldb10,SumBetween,73,eval_input,2020-02-21 12:11:53,1 2,3,,,,,
agoldb10,SumBetween,74,eval_input,2020-02-21 12:11:56,1 3,6,,,,,
agoldb10,SumBetween,75,eval_input,2020-02-21 12:11:59,1 4,10,,,,,
agoldb10,SumBetween,76,eval_input,2020-02-21 12:12:08,0 0,0,,,,,
agoldb10,SumBetween,77,eval_input,2020-02-21 12:12:10,0 1,1,,,,,
agoldb10,SumBetween,78,eval_input,2020-02-21 12:12:11,0 2,3,,,,,
agoldb10,SumBetween,79,eval_input,2020-02-21 12:12:12,0 3,6,,,,,
agoldb10,SumBetween,80,eval_input,2020-02-21 12:12:14,0 4,10,,,,,
agoldb10,SumBetween,81,eval_input,2020-02-21 12:12:31,0 -1,0,,,,,
agoldb10,SumBetween,82,eval_input,2020-02-21 12:12:44,0 -2,0,,,,,
agoldb10,SumBetween,83,eval_input,2020-02-21 12:12:46,0 -3,0,,,,,
agoldb10,SumBetween,84,eval_input,2020-02-21 12:12:47,0 -4,0,,,,,
agoldb10,SumBetween,85,eval_input,2020-02-21 12:12:50,1 -4,0,,,,,
agoldb10,SumBetween,86,eval_input,2020-02-21 12:12:51,-1 -4,0,,,,,
agoldb10,SumBetween,87,eval_input,2020-02-21 12:12:54,-2 -4,0,,,,,
agoldb10,SumBetween,88,eval_input,2020-02-21 12:13:07,-1 0,-1,,,,,
agoldb10,SumBetween,89,eval_input,2020-02-21 12:13:11,-1 1,0,,,,,
agoldb10,SumBetween,90,eval_input,2020-02-21 12:13:15,-1 2,2,,,,,
agoldb10,SumBetween,91,eval_input,2020-02-21 12:13:16,-1 3,5,,,,,
agoldb10,SumBetween,92,eval_input,2020-02-21 12:13:19,-1 4,9,,,,,
agoldb10,SumBetween,93,eval_input,2020-02-21 12:14:47,0 5,15,,,,,
agoldb10,SumBetween,94,eval_input,2020-02-21 12:15:24,0 6,21,,,,,
agoldb10,SumBetween,95,eval_input,2020-02-21 12:15:45,0 7,28,,,,,
agoldb10,SumBetween,96,eval_input,2020-02-21 12:15:46,0 8,36,,,,,
agoldb10,SumBetween,97,eval_input,2020-02-21 12:15:48,0 9,45,,,,,
agoldb10,SumBetween,98,eval_input,2020-02-21 12:15:51,0 10,55,,,,,
agoldb10,SumBetween,99,eval_input,2020-02-21 12:16:14,1 0,0,,,,,
agoldb10,SumBetween,100,eval_input,2020-02-21 12:16:32,1 5,15,,,,,
agoldb10,SumBetween,101,eval_input,2020-02-21 12:16:36,1 6,21,,,,,
agoldb10,SumBetween,102,eval_input,2020-02-21 12:16:38,1 7,28,,,,,
agoldb10,SumBetween,103,eval_input,2020-02-21 12:16:40,1 8,36,,,,,
agoldb10,SumBetween,104,eval_input,2020-02-21 12:16:41,1 9,45,,,,,
agoldb10,SumBetween,105,eval_input,2020-02-21 12:16:52,2 0,0,,,,,
agoldb10,SumBetween,106,eval_input,2020-02-21 12:16:54,2 1,0,,,,,
agoldb10,SumBetween,107,eval_input,2020-02-21 12:17:03,2 2,2,,,,,
agoldb10,SumBetween,108,eval_input,2020-02-21 12:17:07,2 3,5,,,,,
agoldb10,SumBetween,109,eval_input,2020-02-21 12:17:11,2 4,9,,,,,
agoldb10,SumBetween,110,eval_input,2020-02-21 12:17:15,2 5,14,,,,,
agoldb10,SumBetween,111,eval_input,2020-02-21 12:17:35,7 0,0,,,,,
agoldb10,SumBetween,112,eval_input,2020-02-21 12:17:37,7 1,0,,,,,
agoldb10,SumBetween,113,eval_input,2020-02-21 12:17:38,7 2,0,,,,,
agoldb10,SumBetween,114,eval_input,2020-02-21 12:17:39,7 3,0,,,,,
agoldb10,SumBetween,115,eval_input,2020-02-21 12:17:40,7 4,0,,,,,
agoldb10,SumBetween,116,eval_input,2020-02-21 12:17:40,7 5,0,,,,,
agoldb10,SumBetween,117,eval_input,2020-02-21 12:17:41,7 6,0,,,,,
agoldb10,SumBetween,118,eval_input,2020-02-21 12:17:42,7 7,7,,,,,
agoldb10,SumBetween,119,eval_input,2020-02-21 12:17:46,7 8,15,,,,,
agoldb10,SumBetween,120,eval_input,2020-02-21 12:17:47,7 9,24,,,,,
agoldb10,SumBetween,121,eval_input,2020-02-21 12:18:16,-1 0,-1,,,,,
agoldb10,SumBetween,122,eval_input,2020-02-21 12:18:29,-1 1,0,,,,,
agoldb10,SumBetween,123,eval_input,2020-02-21 12:18:33,-1 1,0,,,,,
agoldb10,SumBetween,124,eval_input,2020-02-21 12:18:34,-1 2,2,,,,,
agoldb10,SumBetween,125,eval_input,2020-02-21 12:18:46,-1 3,5,,,,,
agoldb10,SumBetween,126,eval_input,2020-02-21 12:19:03,-1 -1,-1,,,,,
agoldb10,SumBetween,127,eval_input,2020-02-21 12:19:09,-1 -2,0,,,,,
agoldb10,SumBetween,128,eval_input,2020-02-21 12:19:14,-1 -3,0,,,,,
agoldb10,SumBetween,129,eval_input,2020-02-21 12:19:18,-1 -4,0,,,,,
agoldb10,SumBetween,130,eval_input,2020-02-21 12:19:19,-1 -5,0,,,,,
agoldb10,SumBetween,131,eval_input,2020-02-21 12:19:20,-1 -6,0,,,,,
agoldb10,SumBetween,132,eval_input,2020-02-21 12:19:21,-1 -7,0,,,,,
agoldb10,SumBetween,133,quiz_answer,2020-02-21 12:21:20,"2,5",14,0,14,true,,
agoldb10,SumBetween,134,quiz_answer,2020-02-21 12:21:24,"5,2",0,1,0,true,,
agoldb10,SumBetween,135,quiz_answer,2020-02-21 12:21:50,"-2,3",3,2,3,true,,
agoldb10,SumBetween,136,final_answer,2020-02-21 12:21:52,,,,,,"This function returns 0 when the second input is less than the first.  When the two inputs are both x, it returns x.  For any inputs (x, y), where y > x, the function f returns f(x, y - 1) + y.",
agoldb10,Induced,137,eval_input,2020-02-21 12:22:25,0,0,,,,,
agoldb10,Induced,138,eval_input,2020-02-21 12:22:29,1,0,,,,,
agoldb10,Induced,139,eval_input,2020-02-21 12:22:32,2,1,,,,,
agoldb10,Induced,140,eval_input,2020-02-21 12:22:36,3,3,,,,,
agoldb10,Induced,141,eval_input,2020-02-21 12:22:39,4,6,,,,,
agoldb10,Induced,142,eval_input,2020-02-21 12:22:42,5,10,,,,,
agoldb10,Induced,143,eval_input,2020-02-21 12:22:46,6,15,,,,,
agoldb10,Induced,144,eval_input,2020-02-21 12:22:50,7,21,,,,,
agoldb10,Induced,145,eval_input,2020-02-21 12:22:53,8,28,,,,,
agoldb10,Induced,146,eval_input,2020-02-21 12:22:58,-1,1,,,,,
agoldb10,Induced,147,eval_input,2020-02-21 12:23:02,-2,3,,,,,
agoldb10,Induced,148,eval_input,2020-02-21 12:23:05,-3,6,,,,,
agoldb10,Induced,149,eval_input,2020-02-21 12:23:08,-4,10,,,,,
agoldb10,Induced,150,eval_input,2020-02-21 12:23:11,-5,15,,,,,
agoldb10,Induced,151,eval_input,2020-02-21 12:23:15,-6,21,,,,,
agoldb10,Induced,152,eval_input,2020-02-21 12:23:19,-7,28,,,,,
agoldb10,Induced,153,eval_input,2020-02-21 12:23:24,-8,36,,,,,
agoldb10,Induced,154,eval_input,2020-02-21 12:23:29,9,36,,,,,
agoldb10,Induced,155,eval_input,2020-02-21 12:25:11,10,45,,,,,
agoldb10,Induced,156,eval_input,2020-02-21 12:25:14,11,55,,,,,
agoldb10,Induced,157,eval_input,2020-02-21 12:25:46,-9,45,,,,,
agoldb10,Induced,158,quiz_answer,2020-02-21 12:26:44,11,55,0,55,true,,
agoldb10,Induced,159,quiz_answer,2020-02-21 12:26:49,9,36,1,36,true,,
agoldb10,Induced,160,quiz_answer,2020-02-21 12:26:54,6,15,2,15,true,,
agoldb10,Induced,161,final_answer,2020-02-21 12:26:56,,,,,,"The function returns 0 when the input is 0.  Otherwise, it returns f(x)  = f(x - 1) + (x - 1).",
agoldb10,Median,162,eval_input,2020-02-21 12:28:42,0,0,,,,,
agoldb10,Median,163,eval_input,2020-02-21 12:28:47,1,1,,,,,
agoldb10,Median,164,eval_input,2020-02-21 12:28:53,2,2,,,,,
agoldb10,Median,165,eval_input,2020-02-21 12:28:57,3,3,,,,,
agoldb10,Median,166,eval_input,2020-02-21 12:28:59,4,4,,,,,
agoldb10,Median,167,eval_input,2020-02-21 12:29:00,5,5,,,,,
agoldb10,Median,168,eval_input,2020-02-21 12:29:01,100,100,,,,,
agoldb10,Median,169,eval_input,2020-02-21 12:29:03,-2,-2,,,,,
agoldb10,Median,170,eval_input,2020-02-21 12:29:05,-1,-1,,,,,
agoldb10,Median,171,eval_input,2020-02-21 12:29:07,-50,-50,,,,,
agoldb10,Median,172,eval_input,2020-02-21 12:29:15,0 0,0,,,,,
agoldb10,Median,173,eval_input,2020-02-21 12:29:24,0 1,0.5,,,,,
agoldb10,Median,174,eval_input,2020-02-21 12:29:28,0 2,1,,,,,
agoldb10,Median,175,eval_input,2020-02-21 12:29:33,0 3,1.5,,,,,
agoldb10,Median,176,eval_input,2020-02-21 12:29:34,0 4,2,,,,,
agoldb10,Median,177,eval_input,2020-02-21 12:29:36,0 5,2.5,,,,,
agoldb10,Median,178,eval_input,2020-02-21 12:29:38,0 6,3,,,,,
agoldb10,Median,179,eval_input,2020-02-21 12:29:40,0 7,3.5,,,,,
agoldb10,Median,180,eval_input,2020-02-21 12:29:42,0 100,50,,,,,
agoldb10,Median,181,eval_input,2020-02-21 12:29:51,0 1,0.5,,,,,
agoldb10,Median,182,eval_input,2020-02-21 12:30:02,0 -5,-2.5,,,,,
agoldb10,Median,183,eval_input,2020-02-21 12:30:07,1 0,0.5,,,,,
agoldb10,Median,184,eval_input,2020-02-21 12:30:13,1 1,1,,,,,
agoldb10,Median,185,eval_input,2020-02-21 12:30:18,1 2,1.5,,,,,
agoldb10,Median,186,eval_input,2020-02-21 12:30:19,1 3,2,,,,,
agoldb10,Median,187,eval_input,2020-02-21 12:30:21,1 4,2.5,,,,,
agoldb10,Median,188,eval_input,2020-02-21 12:30:24,1 6,3.5,,,,,
agoldb10,Median,189,eval_input,2020-02-21 12:30:29,1 10,5.5,,,,,
agoldb10,Median,190,eval_input,2020-02-21 12:30:39,1 -1,0,,,,,
agoldb10,Median,191,eval_input,2020-02-21 12:30:41,1 -2,-0.5,,,,,
agoldb10,Median,192,eval_input,2020-02-21 12:30:44,2 0,1,,,,,
agoldb10,Median,193,eval_input,2020-02-21 12:30:45,2 1,1.5,,,,,
agoldb10,Median,194,eval_input,2020-02-21 12:30:53,2 2,2,,,,,
agoldb10,Median,195,eval_input,2020-02-21 12:30:56,2 3,2.5,,,,,
agoldb10,Median,196,eval_input,2020-02-21 12:30:57,2 4,3,,,,,
agoldb10,Median,197,eval_input,2020-02-21 12:31:00,2 10,6,,,,,
agoldb10,Median,198,eval_input,2020-02-21 12:31:02,2 -10,-4,,,,,
agoldb10,Median,199,eval_input,2020-02-21 12:31:14,3 13,8,,,,,
agoldb10,Median,200,eval_input,2020-02-21 12:31:18,3 -13,-5,,,,,
